Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
57184162,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267297,1.317299,18.780433,0.042217,25.358202
57185502,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264178,1.042762,18.924911,0.041000,25.358202
57186792,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,1.957884,18.803736,0.042977,25.360745
57186802,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,1.957884,18.803736,0.042977,25.360745
57186892,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263037,1.225787,18.839326,0.040467,25.352271
57186922,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263037,1.225787,18.839326,0.040467,25.352271
57186952,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263646,1.546079,18.907116,0.039022,25.356084
57187092,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264863,1.774860,18.868560,0.041989,25.356508
57187882,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261744,0.539445,18.842715,0.041836,25.355660
57187912,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261744,0.539445,18.842715,0.041836,25.355660
57187922,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261744,0.539445,18.842715,0.041836,25.355660
57187942,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261744,0.539445,18.842715,0.041836,25.355660
57187962,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261744,0.539445,18.842715,0.041836,25.355660
57187992,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264863,1.180030,18.899066,0.039554,25.356931
57188002,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264863,1.180030,18.899066,0.039554,25.356931
57188032,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264863,1.180030,18.899066,0.039554,25.356931
57188722,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267373,1.363055,18.842715,0.041684,25.358626
57188732,01:25:45.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267373,1.363055,18.842715,0.041684,25.358626
