Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11768611,18:11:00.30,0,0,Main,-3.544445,501.647747,0.000000,2.396241,1395.587640,0.000000,100.060850,0.061474,0.961954,25.238800,1.881186,0.731341,34.192725,44.682471
11768622,18:11:00.30,0,0,Main,-0.724308,503.760317,0.000000,0.462840,1393.781394,0.000000,99.138384,-0.084663,1.158495,25.255029,1.887585,0.732415,34.189961,44.682471
11768652,18:11:00.30,0,0,Main,-4.363195,500.178133,0.000000,-1.329091,1399.651693,0.000000,101.490671,0.184537,1.300005,25.212747,1.878478,0.731341,33.928774,44.682471
11768710,18:11:00.30,0,0,Main,-2.088891,502.382554,0.000000,1.264494,1396.535919,0.000000,99.737987,0.222994,1.386483,25.234956,1.880940,0.733642,33.931590,44.682471
11768711,18:11:00.30,0,0,Main,-3.544445,501.509970,0.000000,0.179904,1398.703414,0.000000,101.121685,0.261451,1.449376,25.211039,1.882170,0.732185,33.931590,44.682471
11768713,18:11:00.30,0,0,Main,-3.544445,501.509970,0.000000,0.179904,1398.703414,0.000000,101.121685,0.261451,1.449376,25.211039,1.882170,0.732185,33.931590,44.682471
11768720,18:11:00.30,0,0,Main,-4.636111,500.361834,0.000000,-0.716062,1399.922629,0.000000,101.629041,0.222994,1.260697,25.211893,1.881924,0.731878,33.931590,44.684687
11768721,18:11:00.30,0,0,Main,-4.636111,500.361834,0.000000,-0.716062,1399.922629,0.000000,101.629041,0.222994,1.260697,25.211893,1.881924,0.731878,33.931590,44.684687
11768746,18:11:00.30,0,0,Main,-3.271529,502.290703,0.000000,1.170182,1395.542483,0.000000,101.444548,-0.000057,0.922646,25.237091,1.883155,0.730575,34.192725,44.684687
11768748,18:11:00.30,0,0,Main,-3.271529,502.290703,0.000000,1.170182,1395.542483,0.000000,101.444548,-0.000057,0.922646,25.237091,1.883155,0.730575,34.192725,44.684687
11768751,18:11:00.30,0,0,Main,-0.860766,502.704032,0.000000,1.453119,1393.871706,0.000000,99.092261,-0.061589,1.009124,25.250758,1.884631,0.733182,34.192725,44.684687
11768753,18:11:00.30,0,0,Main,-0.860766,502.704032,0.000000,1.453119,1393.871706,0.000000,99.092261,-0.061589,1.009124,25.250758,1.884631,0.733182,34.192725,44.684687
11768756,18:11:00.30,0,0,Main,-0.587850,503.163286,0.000000,0.840089,1393.194364,0.000000,98.769398,-0.161577,1.229250,25.252466,1.884878,0.732568,34.192725,44.684687
